timestamp,phase,action,source,destination,notes
2026-06-30,P1,create,RUN.md,,runner surface
2026-06-30,P2,create,docs/DATA_MAP.md,,data map
2026-06-30,P2,create,.cursorignore,,IDE hide rules
2026-06-30,P2,create,results/*/ indexes,,report catalog
2026-06-30,P3,symlink,results/active/canonical_batch,Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193319,
2026-06-30,P3,symlink,results/poster/final_figures,outputs/poster_final_figures,
2026-06-30,P3,symlink,results/poster/evidence_package,Layer3_JcvPCA/outputs/poster_ready_evidence_package,
2026-06-30,P3,symlink,results/reports/movement_organization,Layer3_JcvPCA/outputs/movement_organization_question_report,
2026-06-30,P3,symlink,results/reports/nullspace_link_stability,Layer3_JcvPCA/outputs/nullspace_link_stability_review,
2026-06-30,P3,mv,Layer3_JcvPCA/outputs/gaga_batch_jcvpca_smoke_671_20260630_214341,../gaga_psylo_external_archive/final_cleanup_2026-06-30/smoke_batch_671_20260630,smoke archive
2026-06-30,P3,symlink,results/smoke_tests/smoke_batch_671,external smoke_batch_671_20260630,
